,ID,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
54,54,2015-01-03,07:00,Americana - Vila Santa Maria,SP01,MP10,22.0,ug/m3,automatica
55,55,2015-01-03,08:00,Americana - Vila Santa Maria,SP01,MP10,30.0,ug/m3,automatica
56,56,2015-01-03,09:00,Americana - Vila Santa Maria,SP01,MP10,35.0,ug/m3,automatica
57,57,2015-01-03,10:00,Americana - Vila Santa Maria,SP01,MP10,18.0,ug/m3,automatica
58,58,2015-01-03,11:00,Americana - Vila Santa Maria,SP01,MP10,18.0,ug/m3,automatica
59,59,2015-01-03,12:00,Americana - Vila Santa Maria,SP01,MP10,14.0,ug/m3,automatica
60,60,2015-01-03,13:00,Americana - Vila Santa Maria,SP01,MP10,18.0,ug/m3,automatica
61,61,2015-01-03,14:00,Americana - Vila Santa Maria,SP01,MP10,8.0,ug/m3,automatica
62,62,2015-01-03,15:00,Americana - Vila Santa Maria,SP01,MP10,10.0,ug/m3,automatica
63,63,2015-01-03,16:00,Americana - Vila Santa Maria,SP01,MP10,7.0,ug/m3,automatica
64,64,2015-01-03,17:00,Americana - Vila Santa Maria,SP01,MP10,24.0,ug/m3,automatica
65,65,2015-01-03,18:00,Americana - Vila Santa Maria,SP01,MP10,6.0,ug/m3,automatica
66,66,2015-01-03,19:00,Americana - Vila Santa Maria,SP01,MP10,22.0,ug/m3,automatica
67,67,2015-01-03,20:00,Americana - Vila Santa Maria,SP01,MP10,5.0,ug/m3,automatica
68,68,2015-01-03,21:00,Americana - Vila Santa Maria,SP01,MP10,12.0,ug/m3,automatica
69,69,2015-01-03,22:00,Americana - Vila Santa Maria,SP01,MP10,22.0,ug/m3,automatica
70,70,2015-01-03,23:00,Americana - Vila Santa Maria,SP01,MP10,23.0,ug/m3,automatica
71,71,2015-01-03,23:55,Americana - Vila Santa Maria,SP01,MP10,9.0,ug/m3,automatica
72,72,2015-01-04,01:00,Americana - Vila Santa Maria,SP01,MP10,27.0,ug/m3,automatica
73,73,2015-01-04,02:00,Americana - Vila Santa Maria,SP01,MP10,19.0,ug/m3,automatica
74,74,2015-01-04,03:00,Americana - Vila Santa Maria,SP01,MP10,2.0,ug/m3,automatica
75,75,2015-01-04,04:00,Americana - Vila Santa Maria,SP01,MP10,19.0,ug/m3,automatica
76,76,2015-01-04,05:00,Americana - Vila Santa Maria,SP01,MP10,19.0,ug/m3,automatica
77,77,2015-01-04,06:00,Americana - Vila Santa Maria,SP01,MP10,13.0,ug/m3,automatica
78,78,2015-01-04,07:00,Americana - Vila Santa Maria,SP01,MP10,11.0,ug/m3,automatica
79,79,2015-01-04,08:00,Americana - Vila Santa Maria,SP01,MP10,9.0,ug/m3,automatica
80,80,2015-01-04,09:00,Americana - Vila Santa Maria,SP01,MP10,13.0,ug/m3,automatica
81,81,2015-01-04,10:00,Americana - Vila Santa Maria,SP01,MP10,13.0,ug/m3,automatica
82,82,2015-01-04,11:00,Americana - Vila Santa Maria,SP01,MP10,4.0,ug/m3,automatica
83,83,2015-01-04,12:00,Americana - Vila Santa Maria,SP01,MP10,4.0,ug/m3,automatica
84,84,2015-01-04,13:00,Americana - Vila Santa Maria,SP01,MP10,12.0,ug/m3,automatica
85,85,2015-01-04,14:00,Americana - Vila Santa Maria,SP01,MP10,9.0,ug/m3,automatica
86,86,2015-01-04,15:00,Americana - Vila Santa Maria,SP01,MP10,9.0,ug/m3,automatica
87,87,2015-01-04,16:00,Americana - Vila Santa Maria,SP01,MP10,6.0,ug/m3,automatica
88,88,2015-01-04,17:00,Americana - Vila Santa Maria,SP01,MP10,12.0,ug/m3,automatica
89,89,2015-01-04,18:00,Americana - Vila Santa Maria,SP01,MP10,7.0,ug/m3,automatica
90,90,2015-01-04,19:00,Americana - Vila Santa Maria,SP01,MP10,11.0,ug/m3,automatica
91,91,2015-01-04,20:00,Americana - Vila Santa Maria,SP01,MP10,6.0,ug/m3,automatica
92,92,2015-01-04,21:00,Americana - Vila Santa Maria,SP01,MP10,5.0,ug/m3,automatica
93,93,2015-01-04,22:00,Americana - Vila Santa Maria,SP01,MP10,25.0,ug/m3,automatica
94,94,2015-01-04,23:00,Americana - Vila Santa Maria,SP01,MP10,16.0,ug/m3,automatica
95,95,2015-01-04,23:55,Americana - Vila Santa Maria,SP01,MP10,15.0,ug/m3,automatica
96,96,2015-01-05,01:00,Americana - Vila Santa Maria,SP01,MP10,13.0,ug/m3,automatica
97,97,2015-01-05,02:00,Americana - Vila Santa Maria,SP01,MP10,9.0,ug/m3,automatica
98,98,2015-01-05,03:00,Americana - Vila Santa Maria,SP01,MP10,14.0,ug/m3,automatica
99,99,2015-01-05,04:00,Americana - Vila Santa Maria,SP01,MP10,26.0,ug/m3,automatica
100,100,2015-01-05,05:00,Americana - Vila Santa Maria,SP01,MP10,20.0,ug/m3,automatica
101,101,2015-01-05,06:00,Americana - Vila Santa Maria,SP01,MP10,14.0,ug/m3,automatica
102,102,2015-01-05,07:00,Americana - Vila Santa Maria,SP01,MP10,20.0,ug/m3,automatica
103,103,2015-01-05,08:00,Americana - Vila Santa Maria,SP01,MP10,20.0,ug/m3,automatica
104,104,2015-01-05,09:00,Americana - Vila Santa Maria,SP01,MP10,22.0,ug/m3,automatica
105,105,2015-01-05,10:00,Americana - Vila Santa Maria,SP01,MP10,34.0,ug/m3,automatica
106,106,2015-01-05,11:00,Americana - Vila Santa Maria,SP01,MP10,23.0,ug/m3,automatica
107,107,2015-01-05,12:00,Americana - Vila Santa Maria,SP01,MP10,18.0,ug/m3,automatica
108,108,2015-01-05,13:00,Americana - Vila Santa Maria,SP01,MP10,25.0,ug/m3,automatica
109,109,2015-01-05,14:00,Americana - Vila Santa Maria,SP01,MP10,18.0,ug/m3,automatica
110,110,2015-01-05,15:00,Americana - Vila Santa Maria,SP01,MP10,20.0,ug/m3,automatica
111,111,2015-01-05,16:00,Americana - Vila Santa Maria,SP01,MP10,25.0,ug/m3,automatica
112,112,2015-01-05,17:00,Americana - Vila Santa Maria,SP01,MP10,14.0,ug/m3,automatica
113,113,2015-01-05,18:00,Americana - Vila Santa Maria,SP01,MP10,9.0,ug/m3,automatica
114,114,2015-01-05,19:00,Americana - Vila Santa Maria,SP01,MP10,11.0,ug/m3,automatica
115,115,2015-01-05,20:00,Americana - Vila Santa Maria,SP01,MP10,17.0,ug/m3,automatica
116,116,2015-01-05,21:00,Americana - Vila Santa Maria,SP01,MP10,18.0,ug/m3,automatica
117,117,2015-01-05,22:00,Americana - Vila Santa Maria,SP01,MP10,23.0,ug/m3,automatica
118,118,2015-01-05,23:00,Americana - Vila Santa Maria,SP01,MP10,20.0,ug/m3,automatica
119,119,2015-01-05,23:55,Americana - Vila Santa Maria,SP01,MP10,15.0,ug/m3,automatica
120,120,2015-01-06,01:00,Americana - Vila Santa Maria,SP01,MP10,3.0,ug/m3,automatica
121,121,2015-01-06,02:00,Americana - Vila Santa Maria,SP01,MP10,20.0,ug/m3,automatica
122,122,2015-01-06,03:00,Americana - Vila Santa Maria,SP01,MP10,12.0,ug/m3,automatica
123,123,2015-01-06,04:00,Americana - Vila Santa Maria,SP01,MP10,10.0,ug/m3,automatica
124,124,2015-01-06,05:00,Americana - Vila Santa Maria,SP01,MP10,19.0,ug/m3,automatica
125,125,2015-01-06,06:00,Americana - Vila Santa Maria,SP01,MP10,4.0,ug/m3,automatica
126,126,2015-01-06,07:00,Americana - Vila Santa Maria,SP01,MP10,6.0,ug/m3,automatica
127,127,2015-01-06,08:00,Americana - Vila Santa Maria,SP01,MP10,10.0,ug/m3,automatica
128,128,2015-01-06,09:00,Americana - Vila Santa Maria,SP01,MP10,20.0,ug/m3,automatica
129,129,2015-01-06,10:00,Americana - Vila Santa Maria,SP01,MP10,9.0,ug/m3,automatica
130,130,2015-01-06,11:00,Americana - Vila Santa Maria,SP01,MP10,14.0,ug/m3,automatica
131,131,2015-01-06,12:00,Americana - Vila Santa Maria,SP01,MP10,16.0,ug/m3,automatica
132,132,2015-01-06,13:00,Americana - Vila Santa Maria,SP01,MP10,16.0,ug/m3,automatica
133,133,2015-01-06,14:00,Americana - Vila Santa Maria,SP01,MP10,24.0,ug/m3,automatica
134,134,2015-01-06,15:00,Americana - Vila Santa Maria,SP01,MP10,22.0,ug/m3,automatica
135,135,2015-01-06,16:00,Americana - Vila Santa Maria,SP01,MP10,1.0,ug/m3,automatica
136,136,2015-01-06,17:00,Americana - Vila Santa Maria,SP01,MP10,15.0,ug/m3,automatica
137,137,2015-01-06,18:00,Americana - Vila Santa Maria,SP01,MP10,17.0,ug/m3,automatica
138,138,2015-01-06,19:00,Americana - Vila Santa Maria,SP01,MP10,19.0,ug/m3,automatica
139,139,2015-01-06,20:00,Americana - Vila Santa Maria,SP01,MP10,12.0,ug/m3,automatica
140,140,2015-01-06,21:00,Americana - Vila Santa Maria,SP01,MP10,48.0,ug/m3,automatica
141,141,2015-01-06,22:00,Americana - Vila Santa Maria,SP01,MP10,36.0,ug/m3,automatica
142,142,2015-01-06,23:00,Americana - Vila Santa Maria,SP01,MP10,1.0,ug/m3,automatica
143,143,2015-01-06,23:55,Americana - Vila Santa Maria,SP01,MP10,13.0,ug/m3,automatica
144,144,2015-01-07,01:00,Americana - Vila Santa Maria,SP01,MP10,10.0,ug/m3,automatica
145,145,2015-01-07,02:00,Americana - Vila Santa Maria,SP01,MP10,14.0,ug/m3,automatica
146,146,2015-01-07,03:00,Americana - Vila Santa Maria,SP01,MP10,25.0,ug/m3,automatica
147,147,2015-01-07,04:00,Americana - Vila Santa Maria,SP01,MP10,21.0,ug/m3,automatica
148,148,2015-01-07,05:00,Americana - Vila Santa Maria,SP01,MP10,15.0,ug/m3,automatica
149,149,2015-01-07,06:00,Americana - Vila Santa Maria,SP01,MP10,18.0,ug/m3,automatica
150,150,2015-01-07,07:00,Americana - Vila Santa Maria,SP01,MP10,21.0,ug/m3,automatica
151,151,2015-01-07,08:00,Americana - Vila Santa Maria,SP01,MP10,23.0,ug/m3,automatica
152,152,2015-01-07,09:00,Americana - Vila Santa Maria,SP01,MP10,30.0,ug/m3,automatica
153,153,2015-01-07,10:00,Americana - Vila Santa Maria,SP01,MP10,28.0,ug/m3,automatica
154,154,2015-01-07,11:00,Americana - Vila Santa Maria,SP01,MP10,19.0,ug/m3,automatica
155,155,2015-01-07,12:00,Americana - Vila Santa Maria,SP01,MP10,16.0,ug/m3,automatica
156,156,2015-01-07,13:00,Americana - Vila Santa Maria,SP01,MP10,10.0,ug/m3,automatica
157,157,2015-01-07,14:00,Americana - Vila Santa Maria,SP01,MP10,13.0,ug/m3,automatica
158,158,2015-01-07,15:00,Americana - Vila Santa Maria,SP01,MP10,7.0,ug/m3,automatica
159,159,2015-01-07,16:00,Americana - Vila Santa Maria,SP01,MP10,22.0,ug/m3,automatica
160,160,2015-01-07,17:00,Americana - Vila Santa Maria,SP01,MP10,38.0,ug/m3,automatica
161,161,2015-01-07,18:00,Americana - Vila Santa Maria,SP01,MP10,7.0,ug/m3,automatica
162,162,2015-01-07,19:00,Americana - Vila Santa Maria,SP01,MP10,0.0,ug/m3,automatica
163,163,2015-01-07,20:00,Americana - Vila Santa Maria,SP01,MP10,23.0,ug/m3,automatica
